縣市代碼,縣市名稱,學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女,lat,lng,index
1,新北市,13337,市立新莊高中,53,80,0,0,5,13,57,1044,999,324,328,22.6813675,120.3175826,27
50,高雄市,533302,市立新莊高中,35,74,7,6,2,13,45,837,663,264,223,22.6813675,120.3175826,217
1,新北市,14356,市立清水高中,68,143,0,0,2,16,44,649,698,197,230,24.2652825,120.5740941,41
6,臺中市,63305,市立清水高中,44,57,0,0,3,18,42,671,750,210,268,24.2652825,120.5740941,431
1,新北市,14357,市立三民高中,65,142,12,23,2,18,45,712,742,218,234,25.0868693,121.4737065,42
50,高雄市,553302,市立三民高中,33,56,0,0,6,10,36,613,569,172,192,25.0868693,121.4737065,224
3,桃園市,33325,市立陽明高中,54,97,4,15,5,22,60,1036,1078,319,366,25.0922121,121.5172424,73
30,臺北市,413301,市立陽明高中,43,102,5,11,4,24,39,685,689,234,210,25.0922121,121.5172424,206
15,花蓮縣,151312,財團法人慈濟大學附中,39,42,4,5,5,8,15,305,251,85,91,23.999868,121.5741826,102
21,臺南市,211320,財團法人慈濟高中,31,52,2,6,6,12,18,291,248,93,87,23.999868,121.5741826,159
17,基隆市,173304,市立中山高中,30,50,4,5,5,11,12,134,121,24,38,22.728652,120.2927492,108
50,高雄市,543301,市立中山高中,28,60,1,6,3,12,42,669,707,185,267,22.728652,120.2927492,219
30,臺北市,423302,市立中正高中,58,111,3,7,9,17,67,1233,1063,344,346,25.1041727,121.5166212,212
50,高雄市,583301,市立中正高中,37,101,4,9,6,14,33,565,545,190,168,25.1041727,121.5166212,230
50,高雄市,551303,南海月光實驗學校,4,30,0,0,0,1,3,16,15,8,2,22.6080409,120.4270968,222
12,高雄市,121302,光禾華德福實驗學校,2,4,0,0,3,5,1,3,5,0,0,22.6080409,120.4270968,503
3,桃園市,33407,市立中壢高商,45,111,0,3,8,15,60,731,1139,227,361,24.962135,121.214913,262
3,桃園市,33408,市立中壢家商,19,60,0,2,5,17,29,193,730,43,235,24.962135,121.214913,263
3,桃園市,031G91,私立宏德高商進修學校,0,0,15,5,0,0,3,104,0,30,0,24.962135,121.214913,393
7,彰化縣,70403,國立二林工商,71,65,5,0,14,13,52,807,479,282,161,23.9011139,120.3774756,280
7,彰化縣,070G92,國立二林工商進校分校,0,0,0,0,0,0,2,20,0,7,0,23.9011139,120.3774756,394
50,高雄市,521401,私立中華藝校,14,27,47,40,8,17,27,222,627,102,198,22.622051,120.3287805,376
50,高雄市,581402,私立三信家商,30,48,20,30,1,12,76,969,1278,348,354,22.622051,120.3287805,383
50,高雄市,551402,私立樹德家商,45,118,33,47,9,28,130,1399,2869,429,1003,22.643005,120.32803,379
11,臺南市,111G91,私立樹德高中進修學校,0,0,12,1,0,0,3,85,0,27,0,22.643005,120.32803,395
15,花蓮縣,151G91,私立正德高中進修學校,0,0,20,7,0,0,3,65,0,21,0,24.0587655,120.5184684,396
7,彰化縣,71318,財團法人正德高中,11,16,10,13,2,8,20,312,355,120,157,24.0587655,120.5184684,446
3,桃園市,03C301,誠正中學桃園分校,0,0,0,0,0,0,11,168,0,2,0,24.8663014,120.980387,397
4,新竹縣,04C301,誠正中學,0,0,0,0,0,0,14,196,0,13,0,24.8663014,120.980387,398
5,苗栗縣,54333,縣立大同高中,19,39,0,0,4,5,15,203,239,37,58,22.678426,120.477654,413
13,屏東縣,134304,縣立大同高中,41,90,0,0,2,10,21,198,437,69,145,22.678426,120.477654,522
